shift_no_1,site_code_1,next_site_code_1,shift_no_2,site_code_2,next_site_code_2
2309041129889631,571XF,791WH,2309041129889631,571XF,791WH
2309041129891349,558WH,571XF,2309041129891349,558WH,571XF
2309041129900475,571XF,025WH,2309041129900475,571XF,025WH
2309041129900741,571XF,573XF,2309041129900741,571XF,573XF
2309041129904156,574VJ,371WH,2309041129904156,574VJ,371WH
2309041129904156,574VJ,551WH,2309041129904156,574VJ,551WH
2309041129914098,577WH,574WG,2309041129914098,577WH,574WG
2309041129917834,579WH,574WG,2309041129917834,579WH,574WG
2309041129917954,579WH,791WH,2309041129917954,579WH,791WH
2309041129921078,591WH,791WH,2309041129921078,591WH,791WH
2309041129926109,595WH,020WS,2309041129926109,595WH,020WS
2309041129926139,595WH,022WH,2309041129926139,595WH,022WH
2309041129926169,595WH,023WH,2309041129926169,595WH,023WH
2309041129929402,551WH,553WH,2309041129929402,551WH,553WH
2309041129954222,558WH,573XF,2309041129954222,558WH,573XF
2309041129954252,558WH,027WK,2309041129954252,558WH,027WK
2309041129954252,558WH,7311WJ,2309041129954252,558WH,7311WJ
2309041129964053,571XF,371WH,2309041129964053,571XF,371WH
2309041129964053,571XF,551WH,2309041129964053,571XF,551WH
2309041129970292,591WH,029WH,2309041129970292,591WH,029WH
2309041129970322,591WH,510WH,2309041129970322,591WH,510WH
2309041129970532,591WH,595WH,2309041129970532,591WH,595WH
2309041129975502,595WH,531WH,2309041129975502,595WH,531WH
2309041129975562,595WH,571XF,2309041129975562,595WH,571XF
2309041129980189,573XF,024WH,2309041129980189,573XF,024WH
2309041129984496,574WG,020WS,2309041129984496,574WG,020WS
2309041129984778,574WG,771WH,2309041129984778,574WG,771WH
2309041129991534,577WH,757WL,2309041129991534,577WH,757WL
2309041129995889,579WH,021WW,2309041129995889,579WH,021WW
2309041129998902,591WH,023WH,2309041129998902,591WH,023WH
2309041129998902,591WH,028WH,2309041129998902,591WH,028WH
2309041129999164,591WH,595WH,2309041129999164,591WH,595WH
2309041130004229,595WH,024WH,2309041130004229,595WH,024WH
2309041130004379,595WH,757WL,2309041130004379,595WH,757WL
2309041130004469,595WH,771WH,2309041130004469,595WH,771WH
2309041130011131,574VJ,023WH,2309041130011131,574VJ,023WH
2309041130011131,574VJ,028WH,2309041130011131,574VJ,028WH
2309041130013592,574WG,573XF,2309041130013592,574WG,573XF
2309041130020583,577WH,551WH,2309041130020583,577WH,551WH
2309041130024484,579WH,7311WH,2309041130024484,579WH,7311WH
2309041130037326,574WG,029WH,2309041130037326,574WG,029WH
2309041130047570,579WH,021WW,2309041130047570,579WH,021WW
2309041130047810,579WH,757WL,2309041130047810,579WH,757WL
2309041130050973,591WH,022WH,2309041130050973,591WH,022WH
2309041130050973,591WH,024WH,2309041130050973,591WH,024WH
2309041130056012,595WH,023WH,2309041130056012,595WH,023WH
2309041130058651,579WH,025WH,2309041130058651,579WH,025WH
2309041130058681,579WH,571XF,2309041130058681,579WH,571XF
2309041130061985,591WH,553WH,2309041130061985,591WH,553WH
2309041130061985,591WH,571XF,2309041130061985,591WH,571XF
2309041130062075,591WH,592WH,2309041130062075,591WH,592WH
2309041130062221,591WH,7311WJ,2309041130062221,591WH,7311WJ
2309041130062221,591WH,791WH,2309041130062221,591WH,791WH
2309041130066846,595WH,027WK,2309041130066846,595WH,027WK
2309041130075500,595WH,029WH,2309041130075500,595WH,029WH
2309041130075560,595WH,553WH,2309041130075560,595WH,553WH
2309041130075770,595WH,755VF,2309041130075770,595WH,755VF
2309041130075800,595WH,769WK,2309041130075800,595WH,769WK
2309041130075830,595WH,871WH,2309041130075830,595WH,871WH
2309041130083883,573XF,027WK,2309041130083883,573XF,027WK
2309041130083973,573XF,029WH,2309041130083973,573XF,029WH
2309041130085816,574VJ,022WH,2309041130085816,574VJ,022WH
2309041130087960,574WG,553WH,2309041130087960,574WG,553WH
2309041130088110,574WG,757WL,2309041130088110,574WG,757WL
2309041130095068,577WH,023WH,2309041130095068,577WH,023WH
2309041130098885,579WH,574WG,2309041130098885,579WH,574WG
2309041130118019,571XF,573XF,2309041130118019,571XF,573XF
2309041130118124,571XF,757WL,2309041130118124,571XF,757WL
2309041130122223,573XF,571XF,2309041130122223,573XF,571XF
2309041130127044,574WG,010WS,2309041130127044,574WG,010WS
2309041130127254,574WG,757WL,2309041130127254,574WG,757WL
2309041130133759,577WH,539WH,2309041130133759,577WH,539WH
2309041130137298,579WH,027WK,2309041130137298,579WH,027WK
2309041130137358,579WH,576WH,2309041130137358,579WH,576WH
2309041130148747,595WH,579WH,2309041130148747,595WH,579WH
2309041130148987,595WH,757WL,2309041130148987,595WH,757WL
2309041130162323,591WH,022WH,2309041130162323,591WH,022WH
2309041130162323,591WH,531WH,2309041130162323,591WH,531WH
2309041130162353,591WH,027WK,2309041130162353,591WH,027WK
2309041130167073,595WH,536WH,2309041130167073,595WH,536WH
2309041130179665,573XF,022WH,2309041130179665,573XF,022WH
2309041130180071,573XF,871WH,2309041130180071,573XF,871WH
2309041130184449,574WG,024WH,2309041130184449,574WG,024WH
2309041130191439,577WH,371WH,2309041130191439,577WH,371WH
2309041130191611,577WH,595WH,2309041130191611,577WH,595WH
2309041130195575,579WH,022WH,2309041130195575,579WH,022WH
2309041130195665,579WH,576WH,2309041130195665,579WH,576WH
2309041130195785,579WH,851WH,2309041130195785,579WH,851WH
2309041130203458,595WH,020WS,2309041130203458,595WH,020WS
2309041130216433,573XF,510WH,2309041130216433,573XF,510WH
2309041130219207,595WH,7311WJ,2309041130219207,595WH,7311WJ
2309041130264305,574WG,551WH,2309041130264305,574WG,551WH
2309041130264515,574WG,755VF,2309041130264515,574WG,755VF
2309041130297281,574WG,023WH,2309041130297281,574WG,023WH
2309041130297281,574WG,028WH,2309041130297281,574WG,028WH
2309041130297571,574WG,579WH,2309041130297571,574WG,579WH
2309041130304481,577WH,023WH,2309041130304481,577WH,023WH
2309041130304481,577WH,028WH,2309041130304481,577WH,028WH
2309041130304511,577WH,510WH,2309041130304511,577WH,510WH
2309041130308021,579WH,028WH,2309041130308021,579WH,028WH
2309041130308051,579WH,536WH,2309041130308051,579WH,536WH
2309041130308231,579WH,595WH,2309041130308231,579WH,595WH
2309041130311365,591WH,851WH,2309041130311365,591WH,851WH
2309041130311365,591WH,871WH,2309041130311365,591WH,871WH
2309041130316571,595WH,028WH,2309041130316571,595WH,028WH
2309041130316871,595WH,769WK,2309041130316871,595WH,769WK
2309041130320483,595WH,371WH,2309041130320483,595WH,371WH
2309041130328981,663WH,752WH,2309041130328981,663WH,752WH
2309041130370219,595WH,010WS,2309041130370219,595WH,010WS
2309041130370249,595WH,311WH,2309041130370249,595WH,311WH
2309041130370279,595WH,510WH,2309041130370279,595WH,510WH
2309041130370309,595WH,579WH,2309041130370309,595WH,579WH
2309041130370459,595WH,791WH,2309041130370459,595WH,791WH
2309041130395908,595WH,663WH,2309041130395908,595WH,663WH
2309041130395938,595WH,851WH,2309041130395938,595WH,851WH
2309041130425762,577WH,7311WH,2309041130425762,577WH,7311WH
2309041130425762,577WH,791WH,2309041130425762,577WH,791WH
2309041130425792,577WH,595WH,2309041130425792,577WH,595WH
2309041130429461,579WH,517WH,2309041130429461,579WH,517WH
2309041130437056,595WH,021WW,2309041130437056,595WH,021WW
2309041130437086,595WH,024WH,2309041130437086,595WH,024WH
2309041130437116,595WH,028WH,2309041130437116,595WH,028WH
2309041130485143,663WH,771WH,2309041130485143,663WH,771WH
2309041130620183,752WH,762VH,2309041130620183,752WH,762VH
2309041130620188,752WH,762VH,2309041130620188,752WH,762VH
2309041130629066,7311WH,771WH,2309041130629066,7311WH,771WH
2309041130860268,7311WH,311WH,2309041130860268,7311WH,311WH
2309041130860326,7311WH,851WH,2309041130860326,7311WH,851WH
2309041131006273,769WK,8981VH,2309041131006273,769WK,8981VH
2309041131058697,791WH,024WH,2309041131058697,791WH,024WH
2309041131068618,769WS,769WK,2309041131068618,769WS,769WK
2309041131080705,791WH,029WH,2309041131080705,791WH,029WH
2309041131080735,791WH,027WK,2309041131080735,791WH,027WK
2309041131080735,791WH,371WH,2309041131080735,791WH,371WH
2309041131106505,769WK,663WH,2309041131106505,769WK,663WH
2309041131106565,769WK,752WH,2309041131106565,769WK,752WH
2309041131111260,771WH,028WH,2309041131111260,771WH,028WH
2309041131163854,769WK,663WH,2309041131163854,769WK,663WH
2309041131163915,769WK,762VH,2309041131163915,769WK,762VH
2309041131271213,769WK,752WH,2309041131271213,769WK,752WH
2309041131288348,591WH,029WH,2309041131288348,591WH,029WH
2309041131318925,771WH,851WH,2309041131318925,771WH,851WH
2309041131327305,791WH,022WH,2309041131327305,791WH,022WH
2309041131327335,791WH,023WH,2309041131327335,791WH,023WH
2309041131327335,791WH,028WH,2309041131327335,791WH,028WH
2309041131327395,791WH,536WH,2309041131327395,791WH,536WH
2309041131327395,791WH,551WH,2309041131327395,791WH,551WH
2309041131376512,851WH,027WK,2309041131376512,851WH,027WK
2309041131412339,791WH,010WS,2309041131412339,791WH,010WS
2309041131412369,791WH,351WF,2309041131412369,791WH,351WF
2309041131412399,791WH,551WH,2309041131412399,791WH,551WH
2309041131425346,851WH,595WH,2309041131425346,851WH,595WH
2309041131457934,931WH,937VH,2309041131457934,931WH,937VH
2309041131592948,871WH,851WH,2309041131592948,871WH,851WH
2309041131604247,931WH,991WH,2309041131604247,931WH,991WH
2309041131613645,791WH,510WH,2309041131613645,791WH,510WH
2309041131613645,791WH,571XF,2309041131613645,791WH,571XF
2309041131648599,871WH,023WH,2309041131648599,871WH,023WH
2309041131794899,931WH,937VH,2309041131794899,931WH,937VH
2309041131912785,S971WA,029WH,2309041131912785,S971WA,029WH
2309041131930999,S951WB,029WH,2309041131930999,S951WB,029WH
2309041131930999,S951WB,951WH,2309041131930999,S951WB,951WH
2309041132084883,S971WA,029WH,2309041132084883,S971WA,029WH
2309041132084883,S971WA,931WH,2309041132084883,S971WA,931WH
2309041132166604,575WK,028WH,2309041132166604,575WK,028WH
2309041132322383,769WK,762VH,2309041132322383,769WK,762VH
2309041132418866,791WH,7311WJ,2309041132418866,791WH,7311WJ
2309041132419136,791WH,851WH,2309041132419136,791WH,851WH
2309041132419136,791WH,871WH,2309041132419136,791WH,871WH
2309041132533497,851WH,023WH,2309041132533497,851WH,023WH
2309041132533497,851WH,028WH,2309041132533497,851WH,028WH
2309041132533557,851WH,571XF,2309041132533557,851WH,571XF
2309041132533557,851WH,791WH,2309041132533557,851WH,791WH
2309041132574011,851WH,022WH,2309041132574011,851WH,022WH
2309041132574011,851WH,371WH,2309041132574011,851WH,371WH
2309041132613584,851WH,871WH,2309041132613584,851WH,871WH
2309041132714709,931WH,029WH,2309041132714709,931WH,029WH
2309041132714859,931WH,991WH,2309041132714859,931WH,991WH
2309041132728186,S029WJ,991WH,2309041132728186,S029WJ,991WH
2309041132884859,516WH,510WH,2309041132884859,516WH,510WH
2309041132979048,539WH,530VH,2309041132979048,539WH,530VH
2309041132979382,539WH,531WH,2309041132979382,539WH,531WH
2309041133014316,028WH,851WH,2309041133014316,028WH,851WH
2309041133046796,536WH,535WH,2309041133046796,536WH,535WH
2309041133071098,553WH,024WH,2309041133071098,553WH,024WH
2309041133122968,536WH,023WH,2309041133122968,536WH,023WH
2309041133122968,536WH,028WH,2309041133122968,536WH,028WH
2309041133314448,021WW,510WH,2309041133314448,021WW,510WH
2309041133315774,591WH,553WH,2309041133315774,591WH,553WH
2309041133317091,558WH,020WS,2309041133317091,558WH,020WS
2309041133317091,558WH,757WL,2309041133317091,558WH,757WL
2309041133381390,513WH,769WK,2309041133381390,513WH,769WK
2309041133431550,791WH,595WH,2309041133431550,791WH,595WH
2309041133473013,539WH,532WH,2309041133473013,539WH,532WH
2309041133486019,553WH,510WH,2309041133486019,553WH,510WH
2309041133486094,553WH,510WH,2309041133486094,553WH,510WH
2309041133545687,871WH,595WH,2309041133545687,871WH,595WH
2309041133552717,574WG,025WH,2309041133552717,574WG,025WH
2309041133642657,573XF,532WH,2309041133642657,573XF,532WH
2309041133645851,571XF,510WH,2309041133645851,571XF,510WH
2309041133673801,577WH,513WH,2309041133673801,577WH,513WH
2309041133676531,577WH,025WH,2309041133676531,577WH,025WH
2309041133684056,311WH,022WH,2309041133684056,311WH,022WH
2309041133703441,577WH,553WH,2309041133703441,577WH,553WH
2309041133915104,411WH,024WH,2309041133915104,411WH,024WH
2309041133915104,S411AAD,024WH,2309041133915104,S411AAD,024WH
2309041133990512,312WH,531WH,2309041133990512,312WH,531WH
2309041134089953,021WW,539WH,2309041134089953,021WW,539WH
2309041134151679,510WH,024WH,2309041134151679,510WH,024WH
2309041134183866,991WH,029WH,2309041134183866,991WH,029WH
2309041134228529,595WH,752WH,2309041134228529,595WH,752WH
2309041134270995,551WH,024WH,2309041134270995,551WH,024WH
2309041134274613,573XF,023WH,2309041134274613,573XF,023WH
2309041134274613,573XF,553WH,2309041134274613,573XF,553WH
2309041134274642,551WH,536WH,2309041134274642,551WH,536WH
2309041134288687,512WH,576WH,2309041134288687,512WH,576WH
2309041134324069,851WH,551WH,2309041134324069,851WH,551WH
2309041134329722,553WH,512WH,2309041134329722,553WH,512WH
2309041134343131,512WH,553WH,2309041134343131,512WH,553WH
2309041134343133,510WH,551WH,2309041134343133,510WH,551WH
2309041134352538,591WH,022WH,2309041134352538,591WH,022WH
2309041134361392,539WH,532WH,2309041134361392,539WH,532WH
2309041134361447,539WH,535WH,2309041134361447,539WH,535WH
2309041134407216,871WH,028WH,2309041134407216,871WH,028WH
2309041134414758,022WH,024WH,2309041134414758,022WH,024WH
2309041134418300,022WH,851WH,2309041134418300,022WH,851WH
2309041134418300,022WH,871WH,2309041134418300,022WH,871WH
2309041134513277,579WH,351WF,2309041134513277,579WH,351WF
2309041134519653,553WH,023WH,2309041134519653,553WH,023WH
2309041134519653,553WH,028WH,2309041134519653,553WH,028WH
2309043080100041,S510W,871WH,2309043080100041,S510W,871WH
2309043080100075,S539WJ,539WH,2309043080100075,S539WJ,539WH
2309043080100076,S539WJ,539WH,2309043080100076,S539WJ,539WH
23090430801001016,S571WA,575WK,23090430801001016,S571WA,575WK
23090430801001017,S571WA,575WK,23090430801001017,S571WA,575WK
23090430801001038,S021WO,512WH,23090430801001038,S021WO,512WH
23090430801001053,S029WJ,931WH,23090430801001053,S029WJ,931WH
23090430801001065,S552WJ,551WH,23090430801001065,S552WJ,551WH
23090430801001077,S371W,516WH,23090430801001077,S371W,516WH
23090430801001080,S021WO,021WV,23090430801001080,S021WO,021WV
23090430801001113,S020WA,663WH,23090430801001113,S020WA,663WH
23090430801001137,S769W,762VH,23090430801001137,S769W,762VH
2309043080100114,S769W,752WH,2309043080100114,S769W,752WH
23090430801001147,S312WJ,312WH,23090430801001147,S312WJ,312WH
23090430801001168,S510W,514WH,23090430801001168,S510W,514WH
23090430801001187,S020WA,663WH,23090430801001187,S020WA,663WH
23090430801001189,S769W,663WH,23090430801001189,S769W,663WH
23090430801001214,S579WJ,513WH,23090430801001214,S579WJ,513WH
23090430801001219,S571W,871WH,23090430801001219,S571W,871WH
23090430801001242,S029WJ,931WH,null,null,null
23090430801001242,S371W,931WH,null,null,null
23090430801001250,S022WJ,316WH,23090430801001250,S022WJ,316WH
23090430801001325,S551WJ,558WH,23090430801001325,S551WJ,558WH
2309043080100167,S020WB,576WH,2309043080100167,S020WB,576WH
2309043080100167,S577WJ,576WH,2309043080100167,S577WJ,576WH
2309043080100249,S020WB,573XF,2309043080100249,S020WB,573XF
2309043080100258,S510W,512WH,2309043080100258,S510W,512WH
2309043080100276,S531W,536WH,2309043080100276,S531W,536WH
2309043080100279,S532W,535WH,2309043080100279,S532W,535WH
2309043080100337,S024WJ,024WH,2309043080100337,S024WJ,024WH
2309043080100411,S351WJ,351WF,2309043080100411,S351WJ,351WF
2309043080100420,S510W,553WH,2309043080100420,S510W,553WH
2309043080100424,S551WJ,553WH,2309043080100424,S551WJ,553WH
2309043080100438,S577WJ,576WH,2309043080100438,S577WJ,576WH
2309043080100438,S595W,576WH,2309043080100438,S595W,576WH
2309043080100448,S371W,576WH,2309043080100448,S371W,576WH
2309043080100452,S024WJ,411WH,2309043080100452,S024WJ,411WH
2309043080100495,871WH,851WH,2309043080100495,871WH,851WH
2309043080100532,S571WA,575WK,2309043080100532,S571WA,575WK
2309043080100560,S577WJ,577WH,2309043080100560,S577WJ,577WH
2309043080100565,S021WH,021WW,2309043080100565,S021WH,021WW
2309043080100592,S519WA,515VH,2309043080100592,S519WA,515VH
2309043080100619,S021W,573XF,2309043080100619,S021W,573XF
2309043080100623,S020WB,663WH,2309043080100623,S020WB,663WH
2309043080100638,S020WA,752WH,2309043080100638,S020WA,752WH
2309043080100670,S311W,663WH,2309043080100670,S311W,663WH
2309043080100701,S551WJ,553WH,2309043080100701,S551WJ,553WH
2309043080100772,S571WA,575WK,2309043080100772,S571WA,575WK
2309043080100785,S769W,663WH,2309043080100785,S769W,663WH
2309043080100794,576WH,513WH,2309043080100794,576WH,513WH
2309043080100794,S577WJ,513WH,2309043080100794,S577WJ,513WH
2309043080100795,S571W,512WH,2309043080100795,S571W,512WH
2309043080100795,S571W,516WH,2309043080100795,S571W,516WH
2309043080100800,S021WH,512WH,2309043080100800,S021WH,512WH
2309043080100840,S021W,512WH,2309043080100840,S021W,512WH
2309043080100942,S020WB,871WH,2309043080100942,S020WB,871WH
2309043080100972,S551WJ,553WH,2309043080100972,S551WJ,553WH
2309043080100978,S571W,575WK,2309043080100978,S571W,575WK
2309043080101005,S852WJ,851WH,2309043080101005,S852WJ,851WH
2309043080101007,S791AFS,791WH,2309043080101007,S791AFS,791WH
2309043080101013,S791AFS,791WH,2309043080101013,S791AFS,791WH
2309043080101018,S595W,595WH,2309043080101018,S595W,595WH
2309043080101026,S539WJ,539WH,2309043080101026,S539WJ,539WH
2309043080101031,S574WJ,574WG,2309043080101031,S574WJ,574WG
2309043080101039,S574WJ,574WG,2309043080101039,S574WJ,574WG
2309043080101047,S519WA,519WH,2309043080101047,S519WA,519WH
2309043080101054,S731WJ,7311WH,2309043080101054,S731WJ,7311WH
2309043080101103,S574WJ,574WG,2309043080101103,S574WJ,574WG
2309043080101123,S579WJ,871WH,2309043080101123,S579WJ,871WH
2309043080101138,S531W,871WH,2309043080101138,S531W,871WH
2309043080101151,S563WJ,553WH,2309043080101151,S563WJ,553WH
2309043080101152,S371W,871WH,2309043080101152,S371W,871WH
2309043080101154,S595W,871WH,2309043080101154,S595W,871WH
2309043080101156,S595W,663WH,2309043080101156,S595W,663WH
2309043080101244,S571W,663WH,2309043080101244,S571W,663WH
2309043080101244,S579WJ,663WH,2309043080101244,S579WJ,663WH
2309043080101252,S510W,513WH,2309043080101252,S510W,513WH
2309043080101285,S631WJ,536WH,2309043080101285,S631WJ,536WH
2309043080300003,S531W,536WH,2309043080300003,S531W,536WH
2309043080817001,S021WO,513WH,2309043080817001,S021WO,513WH
2309043081000001,S020WB,991WH,2309043081000001,S020WB,991WH
2309043081100002,S579WJ,576WH,2309043081100002,S579WJ,576WH
2309043082200001,S020WA,991WH,2309043082200001,S020WA,991WH
2309043083108003,S551WJ,553WH,2309043083108003,S551WJ,553WH
2309043090112002,S574WA,513WH,2309043090112002,S574WA,513WH
2309043090112002,S574WJ,513WH,2309043090112002,S574WJ,513WH
2309043090113002,S574WA,576WH,2309043090113002,S574WA,576WH
2309043090309006,S025WJ,514WH,2309043090309006,S025WJ,514WH
2309043090309029,871WH,851WH,2309043090309029,871WH,851WH
2309043090310007,S571W,515VH,2309043090310007,S571W,515VH
2309043090310039,S791WJ,791WH,2309043090310039,S791WJ,791WH
2309043090310062,S517WJ,517WH,2309043090310062,S517WJ,517WH
2309043090310067,S517WJ,517WH,2309043090310067,S517WJ,517WH
2309043090310073,S577WJ,576WH,2309043090310073,S577WJ,576WH
2309043090310073,S769W,576WH,2309043090310073,S769W,576WH
2309043090310077,S769W,871WH,2309043090310077,S769W,871WH
2309043090310082,S517WJ,516WH,2309043090310082,S517WJ,516WH
2309043090311025,S517WJ,516WH,2309043090311025,S517WJ,516WH
2309043090311031,S020WB,762VH,2309043090311031,S020WB,762VH
2309043090311049,S024WJ,411WH,2309043090311049,S024WJ,411WH
2309043090311053,S769W,663WH,2309043090311053,S769W,663WH
2309043090312002,S510W,513WH,2309043090312002,S510W,513WH
2309043090312003,S025WJ,514WH,2309043090312003,S025WJ,514WH
2309043090312016,S510W,871WH,2309043090312016,S510W,871WH
2309043090312016,S731WJ,871WH,2309043090312016,S731WJ,871WH
2309043090313002,S451WJ,451WH,2309043090313002,S451WJ,451WH
2309043090313020,S024WJ,411WH,2309043090313020,S024WJ,411WH
2309043090313027,S577WJ,577WH,2309043090313027,S577WJ,577WH
2309043090314002,S577WJ,577WH,2309043090314002,S577WJ,577WH
2309043090314009,S024WJ,411WH,2309043090314009,S024WJ,411WH
2309043090314019,S577WJ,577WH,2309043090314019,S577WJ,577WH
2309043090314033,S523WJ,514WH,2309043090314033,S523WJ,514WH
2309043090316008,S451WJ,451WH,2309043090316008,S451WJ,451WH
2309043090316024,S510W,512WH,2309043090316024,S510W,512WH
2309043090319011,S551WJ,551WH,2309043090319011,S551WJ,551WH
2309043090319014,S451WJ,451WH,2309043090319014,S451WJ,451WH
2309043090322008,S027W,027WH,2309043090322008,S027W,027WH
2309043090410010,S021WO,021WV,2309043090410010,S021WO,021WV
2309043090410014,S791AFS,791WH,2309043090410014,S791AFS,791WH
2309043090414005,S523WJ,514WH,2309043090414005,S523WJ,514WH
2309043090417010,S852WJ,851WH,2309043090417010,S852WJ,851WH
230905017804917,574VJ,023WH,230905017804917,574VJ,023WH
230905017804917,574VJ,028WH,230905017804917,574VJ,028WH
230905017804972,530VH,024WH,230905017804972,530VH,024WH
230905017805024,574VJ,579WH,230905017805024,574VJ,579WH
230905017805028,574VJ,579WH,230905017805028,574VJ,579WH
230905017805047,574VJ,769WK,230905017805047,574VJ,769WK
230905017805049,574VJ,769WK,230905017805049,574VJ,769WK
230905017805054,574VJ,029WH,230905017805054,574VJ,029WH
230905017805061,574VJ,510WH,230905017805061,574VJ,510WH
230905017805061,574VJ,536WH,230905017805061,574VJ,536WH
230905017805062,574VJ,510WH,230905017805062,574VJ,510WH
230905017805062,574VJ,536WH,230905017805062,574VJ,536WH
230905017805083,574VJ,574WG,230905017805083,574VJ,574WG
230905017805085,574VJ,574WG,230905017805085,574VJ,574WG
230905017805218,575WK,029WH,230905017805218,575WK,029WH
230905017805245,575WK,539WH,230905017805245,575WK,539WH
230905017805245,575WK,573XF,230905017805245,575WK,573XF
230905017805629,574WG,536WH,230905017805629,574WG,536WH
230905017805632,579WH,029WH,230905017805632,579WH,029WH
230905017806991,536WH,510WH,230905017806991,536WH,510WH
230905017807021,536WH,851WH,230905017807021,536WH,851WH
230905017807562,579WH,517WH,230905017807562,579WH,517WH
230905017807567,551WH,851WH,230905017807567,551WH,851WH
230905017807567,551WH,871WH,230905017807567,551WH,871WH
230905017807582,579WH,510WH,230905017807582,579WH,510WH
230905017807677,539WH,7311WJ,230905017807677,539WH,7311WJ
230905017807783,539WH,022WH,230905017807783,539WH,022WH
230905017809193,571XF,024WH,230905017809193,571XF,024WH
230905017809993,536WH,551WH,230905017809993,536WH,551WH
230905017809993,536WH,7311WJ,230905017809993,536WH,7311WJ
230905017810255,311WH,027WK,230905017810255,311WH,027WK
230905017810269,576WH,7311WH,230905017810269,576WH,7311WH
230905017810355,516WH,531WH,230905017810355,516WH,531WH
230905017811035,595WH,027WK,230905017811035,595WH,027WK
230905017811087,595WH,510WH,230905017811087,595WH,510WH
230905017811098,577WH,591WH,230905017811098,577WH,591WH
230905017812054,595WH,791WH,230905017812054,595WH,791WH
230905017812085,595WH,871WH,null,null,null
230905017813121,7311WH,851WH,230905017813121,7311WH,851WH
230905017813401,595WH,029WH,230905017813401,595WH,029WH
230905017813672,536WH,010WS,230905017813672,536WH,010WS
230905017813672,536WH,022WH,230905017813672,536WH,022WH
230905017813756,022WH,024WH,230905017813756,022WH,024WH
230905017814864,575WK,027WK,230905017814864,575WK,027WK
230905017820821,318VH,573XF,230905017820821,318VH,573XF
230905017821515,510WH,851WH,230905017821515,510WH,851WH
230905017821878,517WH,024WH,230905017821878,517WH,024WH
230905017829900,516WH,517WH,230905017829900,516WH,517WH
230905017837183,028WH,023WH,230905017837183,028WH,023WH
230905017838945,510WH,514WH,230905017838945,510WH,514WH
230905017839321,517WH,029WH,230905017839321,517WH,029WH
230905017839470,553WH,558WH,230905017839470,553WH,558WH
230905017843601,579WH,024WH,230905017843601,579WH,024WH
230905017845980,510WH,516WH,230905017845980,510WH,516WH
230905017846059,558WH,573XF,230905017846059,558WH,573XF
230905017849080,510WH,021WW,230905017849080,510WH,021WW
230905017849499,553WH,558WH,230905017849499,553WH,558WH
230905017849658,024WH,027WK,230905017849658,024WH,027WK
230905017849675,024WH,595WH,null,null,null
230905017849713,595WH,024WH,null,null,null
230905017849737,510WH,021WW,230905017849737,510WH,021WW
230905017850018,024WH,029WH,230905017850018,024WH,029WH
230905017850067,510WH,517WH,230905017850067,510WH,517WH
230905017850094,791WH,510WH,230905017850094,791WH,510WH
230905017851405,510WH,513WH,230905017851405,510WH,513WH
230905017851619,411WH,024WH,230905017851619,411WH,024WH
230905017851923,575WK,028WH,null,null,null
230905017859042,595WH,020WS,230905017859042,595WH,020WS
230905017877873,579WH,574WG,230905017877873,579WH,574WG
230905017881271,579WH,576WH,230905017881271,579WH,576WH
230905017883252,311WH,022WH,230905017883252,311WH,022WH
2309051126841862,757WL,752WH,2309051126841862,757WL,752WH
2309051126851072,591WH,663WH,2309051126851072,591WH,663WH
2309051126851072,592WH,663WH,2309051126851072,592WH,663WH
2309051126851616,591WH,592WH,2309051126851616,591WH,592WH
2309051126853665,318VH,371WH,2309051126853665,318VH,371WH
2309051126860389,595WH,351WF,2309051126860389,595WH,351WF
2309051126863207,539WH,029WH,2309051126863207,539WH,029WH
2309051126867184,595WH,752WH,2309051126867184,595WH,752WH
2309051127317129,022WH,315VH,2309051127317129,022WH,315VH
2309051127317189,022WH,315VH,2309051127317189,022WH,315VH
2309051127322454,S023WJ,871WH,2309051127322454,S023WJ,871WH
2309051127338387,021WW,027WK,2309051127338387,021WW,027WK
2309051127393985,022WH,315VH,2309051127393985,022WH,315VH
2309051127416886,021WW,029WH,2309051127416886,021WW,029WH
2309051127416914,021WW,431WH,2309051127416914,021WW,431WH
2309051127416957,021WW,512WH,2309051127416957,021WW,512WH
2309051127445845,022WH,315VH,2309051127445845,022WH,315VH
2309051127446025,022WH,531WH,2309051127446025,022WH,531WH
2309051127473617,022WH,431WH,2309051127473617,022WH,431WH
2309051127473617,022WH,451WH,null,null,null
2309051127492233,021WW,791WH,2309051127492233,021WW,791WH
2309051127495677,022WH,024WH,2309051127495677,022WH,024WH
2309051127495917,022WH,351WF,2309051127495917,022WH,351WF
2309051127500943,023WH,871WH,2309051127500943,023WH,871WH
2309051127518322,021WW,024WH,2309051127518322,021WW,024WH
2309051127518350,021WW,351WF,2309051127518350,021WW,351WF
2309051127522314,022WH,431WH,2309051127522314,022WH,431WH
2309051127527845,023WH,028WH,2309051127527845,023WH,028WH
2309051127548660,022WH,024WH,2309051127548660,022WH,024WH
2309051127569740,021WW,551WH,2309051127569740,021WW,551WH
2309051127591558,021WV,7311WJ,2309051127591558,021WV,7311WJ
2309051127592139,021WW,532WH,2309051127592139,021WW,532WH
2309051127592165,021WW,7311WJ,2309051127592165,021WW,7311WJ
2309051127596781,022WH,315VH,2309051127596781,022WH,315VH
2309051127623422,022WH,315VH,2309051127623422,022WH,315VH
2309051127641670,021WV,021WW,2309051127641670,021WV,021WW
2309051127646177,022WH,028WH,2309051127646177,022WH,028WH
