waybillno,productcode
SF6507089219807,null
SF6507089109434,null
SF6507089449692,null
SF6507089101299,null
SF9600553063921,SE0001
SF6507089064674,null
SF6507090603477,null
SF6507089061335,null
SF6507090004734,null
SF6507088607640,null
SF6507089095772,null
SF6507089286324,null
SF6507089128489,null
SF6507090220672,null
SF6507089102654,null
SF6508603273266,null
SF6507089118202,null
SF6507089680257,null
SF6507088458479,null
SF6507089035053,null
SF6507090091663,null
SF6507090694903,
SF6507090278591,null
SF6507089404653,null
SF6507089396786,null
SF6507090581098,null
SF6507090724591,null
SF6507090223727,null
SF6507090650651,null
SF6507089236067,null
SF6507088607561,null
SF6507090514817,null
SF6507089083735,null
SF6507090508133,null
SF6507090041838,null
SF6507089055207,null
SF6507090365707,null
SF6507089439944,null
SF6507089822191,null
SF6507089108102,null
SF6507089991023,null
SF6507088607604,null
SF6507090184470,null
SF6507089072174,null
SF6507089877363,null
SF6507090694903,null
SF6507089182247,null
SF6507089107587,null
SF6507089941022,null
SF6507090524421,null
SF6507090243459,null
SF6507090265522,null
SF6507089036763,null
SF6507089908397,null
SF6507089246421,null
SF6507089114559,null
SF6507089126144,null
SF6507089076560,null
SF6507090267027,null
SF6507089064734,null
SF6507089062426,null
SF6507089837732,null
SF6507089122137,null
SF6507090233632,null
SF6507089072396,null
SF6507088985686,null
SF6507089109513,null
SF6507089648184,null
SF6507089144635,null
SF6507089070420,null
SF6507089738172,null
SF6507089110303,null
SF6507089126001,null
SF6507089113934,null
SF6507090061902,null
SF6507090332337,null
SF6507089433347,null
SF6507088985455,null
SF6507089159297,null
SF6507090011868,null
SF6507089030466,null
SF6507089856318,null
SF6507090282832,null
SF9600553063341,SE0001
SF6507088983844,null
SF6507090322317,null
SF6507089629915,null
SF6507088984566,null
SF6507089116503,null
SF6507089130591,null
SF6507089076781,null
SF6507090308346,null
SF6507089125404,null
SF6507089117095,null
SF6507088986495,null
SF6507089088764,null
SF6507089789415,null
SF6507089126320,null
SF6507089125944,null
SF6507089062074,null
SF6507089149725,null
SF6507089125422,null
SF6507089046679,null
SF6507089314204,null
SF6507089492479,null
SF6507090055468,null
SF6507089497709,null
SF6507088033832,null
SF6507090437020,null
SF6507088263576,null
SF6507090418763,null
SF6507088607304,null
SF6507089121230,null
SF6507090063204,null
SF6507090441848,null
SF6507089194450,
SF6507089693378,null
SF6507088985473,null
SF6507089080699,null
SF6507089194450,null
SF6507088607076,null
SF6507088283492,null
SF6507089452434,null
SF6507089306721,null
SF6507090059281,null
SF6507089985384,null
SF6507089463025,null
SF6507089073294,null
SF6507088985834,null
SF6507089085125,null
SF6507089894954,null
SF6507089431311,null
SF6507090082707,null
SF6507089893447,null
SF6507089098218,null
SF6507090162591,null
SF6507089092893,null
SF6507088607816,null
SF6507089946730,null
SF6507089297172,null
SF6507090445625,null
SF6507089085365,null
SF6507089112896,null
SF6507090445176,null
SF6507089120129,null
SF6507089124985,null
SF6507089911122,null
SF6507088026385,null
SF6507089121488,null
SF6507089106661,null
SF6507089070527,null
SF6508603272668,null
SF6507089998121,null
SF6507089122473,null
SF6507089220208,null
SF6507089127255,null
SF6507090084072,null
SF6507089065563,null
SF6507089343146,null
SF6507089129227,null
SF6507089965185,null
SF6507089239510,null
SF6507090181617,null
SF6507089528601,null
SF6507089894654,null
SF6507090561921,null
SF6507089719419,null
SF6507089849189,null
SF6507090797307,null
SF6507089541059,null
SF6507089220086,null
SF6507089091208,null
SF6507089550911,null
SF6507090461967,null
SF6507089464708,null
SF6507089111477,null
SF6507088986704,null
SF6507089122094,null
SF6507089856875,null
SF6507089112339,null
SF6507090155593,null
SF6507089067508,null
SF6507088434430,null
SF6507089277732,null
SF6507090304896,null
SF6507089116821,null
SF6507089158399,null
SF6507089146282,null
SF6507090327277,null
SF6507088962571,null
SF6507090004498,null
SF6507089071831,null
SF6507089110976,null
SF6507089122067,null
SF6507089148157,null
SF6507089476261,null
SF6507090404471,null
SF6507089584316,null
SF6507089452822,null
SF6507089078993,null
SF6507089436986,null
SF6507090201441,
SF6507090201441,null
SF6507089212444,null
SF6507089752082,null
SF6507089128161,null
SF6507089697109,null
SF6507089096130,null
SF6507089672793,null
SF6507089118441,null
SF6507090413568,null
SF6507089109295,null
SF6507089968664,null
SF6507089067765,null
SF6507089941156,null
SF6507089130607,null
SF6507089144061,null
SF6507089096776,null
SF6507089857304,null
SF6507089083569,null
SF6507089682274,null
SF6507089126832,null
SF6507089110533,null
SF6507089722622,null
SF6507089812966,null
SF6507090147951,null
SF6507089071222,null
SF6507089119173,null
SF6507088641149,null
SF6507089121373,null
SF6507088982188,null
SF6507090340298,null
SF6507089214601,null
SF6507089067174,null
SF6507088977286,null
SF6507089403659,null
SF6507090333474,null
SF6507090041810,null
SF6507089616849,null
SF6507088984981,null
SF6507089968637,null
SF6507089991272,null
SF6507089086174,null
SF6507089114725,null
SF6507089136782,null
SF6507089074437,null
SF6507089084411,null
SF6507089781640,null
SF6507089144413,null
SF6507090205882,null
SF6507089522395,null
SF6507088761125,null
SF6507089673956,null
SF6507089115679,null
SF6507090342815,null
SF6507090462291,null
SF6507089112957,null
SF6507089111510,null
SF6507090700419,null
SF6507089686096,null
SF6507090215512,null
SF6507090035454,null
SF6507089908854,null
SF6507089116803,null
SF6507089490452,null
SF6507089256820,null
SF6507088984502,null
SF6507090225010,null
SF6507089012125,null
SF6507089067299,null
SF6507090215715,null
SF6507089083417,null
SF6507089925007,null
SF6507089083780,null
SF6507090479550,null
SF6507089890568,null
SF6507087966571,null
SF6507090767691,null
SF6507089088386,null
SF6507088836748,null
SF6507089753711,null
SF6507090406813,null
SF6507090508337,null
SF6507089109683,null
SF6507089079591,null
SF6507088972980,null
SF6507089035293,null
SF6507089123927,null
SF6507089078480,null
SF6507089067447,null
SF6507089115096,null
SF6507089111740,null
SF6507089035275,null
SF6507089116415,null
SF6507089132032,null
SF6507089452277,null
SF6507089087036,null
SF6507088705623,null
SF6507090032654,null
SF6507089261450,null
SF6507089301923,null
SF6507089087479,null
SF6507089452513,null
SF6507089089990,null
SF6507089124154,null
SF6507089062453,null
SF6507089067623,null
SF6507090442694,null
SF6507090445494,null
SF6507089111362,null
SF6507089148111,null
SF6507089062550,null
SF6507089166416,null
